id,created_at,text
1094011882736926720,2019-02-08 23:15:33,@falanext dá uma olhadinha de novo :x
1094016425356914690,2019-02-08 23:33:36,"A @falanext é uma vergonha. Banco de quinta categoria. Não façam conta no Next, é uma enganação. Atendimento, app,… https://t.co/fIr2motPB4"
1094016879444877312,2019-02-08 23:35:24,"@falanext De Next, deveria mudar para Hell. porque esse torna sua vida um."
1094017474494955526,2019-02-08 23:37:46,@falanext @Eneidafarias4 Onde porque desde segunda que queremos resolver a mancada que vocês fizeram e nada. Tudo o… https://t.co/D0JK7BKSPm
1094018314047799296,2019-02-08 23:41:06,"@Gedaiax @falanext Não faça conta na Next, tudo que prometem é uma tremenda mentira. Eu e minha esposa estamos pass… https://t.co/bxNaQhm2Wc"
1094018357693689856,2019-02-08 23:41:17,@Gedaiax @falanext Uma viagem vira um inferno.
1094018699433046017,2019-02-08 23:42:38,"@maugustofs @falanext Não faça conta na Next, tudo que prometem é uma tremenda mentira. Eu e minha esposa estamos p… https://t.co/Ylmn6Ozuai"
1094018752616820742,2019-02-08 23:42:51,@maugustofs @falanext Uma viagem vira um inferno.
1094019253097902080,2019-02-08 23:44:50,@LipeCasaes @notoriaz @falanext São sempre assim. Fuja da Next!
1094019255547428864,2019-02-08 23:44:51,"@falanext Ah sim, não foi esse não. Foi um caixa eletrônico normal. 😕"
1094019528122646528,2019-02-08 23:45:56,"@elmadan @falanext É um problema, não um solução. Estou passando por uma situação terrível por causa deles."
1094020014083059712,2019-02-08 23:47:51,@tinarloch @falanext Pior é elogio.
1094020572135243776,2019-02-08 23:50:04,"@amandaa_stecla @falanext Se depender do atediamento deles, vai ser difícil. Tudo é complicado pela Next. até conseguir uma simples senha."
1094020857511505920,2019-02-08 23:51:13,"@illberesistance @falanext Não faça conta na Next, tudo que prometem é uma tremenda mentira. Eu e minha esposa esta… https://t.co/dIzvRd2pcn"
1094021161489518592,2019-02-08 23:52:25,@enfoderada @falanext Também fui. Infelizmente a @falanext é mais um problema do que uma solução para nossas vidas.
1094021610535874560,2019-02-08 23:54:12,"@sidneymendoncaa @falanext Horrivel, espera até fazer uma viagem internacional. Estou com um problemão e eles não resolvem."
1094026283644841984,2019-02-09 00:12:46,"@falanext Ta escrito aí, nada a acrescentar"
1094029811016712193,2019-02-09 00:26:47,@falanext Aqui ó @iKill_
1094032898464903170,2019-02-09 00:39:03,Seria isso o @falanext card chegando ao Apple Pay? 💚🤭🤔 https://t.co/56PmHz0odI
1094050038723080192,2019-02-09 01:47:10,@falanext vou mandar por dm
1094056177997152256,2019-02-09 02:11:34,Extremamente cansada de ser feita do trouxa pelo @falanext https://t.co/qLXYcEeCIt
1094057299675623424,2019-02-09 02:16:01,@falanext dm
1094062268785065984,2019-02-09 02:35:46,@falanext aceita minha conta logo blz
1094065013596319745,2019-02-09 02:46:40,@falanext @FestivalPath cadê meu cartão?! ta foda mano
